,finnish,russian
652,"Kyllä tapasi, kerran Pearl Harborin jälkeen- kun Akagi oli satamassa Yokosukassa.",Что происходит?
653,"Mutta et voi tehdä sitä, Stefan.",Что?
654,"Emme selviä, Jerry.","О, Хаддерс."
655,"Minun on parempi mennä Jos menet sinne 10:30 jälkeen, et kuule ajatuksiasi - ihmisten Filippiineille skypettämisen yli.",- Советуешь вернуться к работе? - Да.
656,"Tuo on suurin päivänvarjo, jonka olen ikinä nähnyt.",2 бутыли воды. И торт.
657,"Anteeksi, herra. Tulen heti.","И то, и другое. Безумие!"
658,Nämä herrat ovat käytettävissänne.,- Милый ты как? - Все в порядке.
659,Ei toimi.,"- Остановись, просто прекрати."
660,"Minun pitää tehdä tämä, Henry.",Даже для меня в этом было слишком много Мэнни.
661,"En malta odottaa, että pääsen kävelemään Central Parkiin.","Мне кажется, в основном, его жизнь сильно отличалась от вашей."
662,Kuunnelkaa!,"Что бы вы хотели, чтобы преуспеть на своем европейский аргумент делать ничего с ними делать но это то, что я не хочу, чтобы обойти , который начал Я получаю Конец игры кочевник"
663,- Mitä teet?,"Вы думаете, что ребенок может напиться небольшим глотком?"
664,Tehdään tästä mielenkiintoista.,Анна!
665,Pyhimykset meitä varjelkoon.,Сэм!
666,Kuka hän on?,Стать легендой? Нет.
667,En voi hävitä.,Я решила не идти и впоследствии не пожалела!
668,Voin toistaa sen teille.,Давайте поразмышляем над такими вопросами: почему ободрять других так важно?
669,Katsokaa noita elukoita.,И пунктуальная.
670,"Todisteita tästä menetelmästä, puupalkkien yhdistämisestä kivirakenteisiin, on löydetty useista paikoista. Esimerkkinä tästä on Megiddon portti, jonka ajatellaan olevan peräisin Salomon ajalta tai sitä varhaisemmalta ajalta.",Мы в руках подростка.
671,- Joku on hyökännyt heitä vastaan.,Без воды нет жизни.
672,"Jos joku on kanssanne tai ette tottele ohjeita, - se on sääntörikkomus ja vaimonne kuolee. Ymmärrättekö?","Нет, это было бы глупо."
673,Me vaan... tiedätte kyllä.,Жить жизнью вне правил моего отца;
674,"Kato, ota minua kädestä kiinni ja lähde kanssani tähän seikkailuun.","- Послушай, я делаю все, что могу."
675,Anna hänen olla.,"О, черт!"
676,"Kuukauden kuluttua kuulimme vihdoin, että meidät lähetettäisiin kotiin.","- Ладно, сдаюсь."
677,- Olin typerä.,Это возможно?
678,Hän tienasi nuo yksin?,"Опечаленные родственники и друзья часто спрашивают себя: « Действительно ли мертвы умершие », или..."
679,"Lyön evääni vetoa, että tuo tyttö voittaa.","Финский язык является родным для 60 % населения, шведский – для 36 %, и еще 4 % населения говорит на других языках."
680,Lopeta!,Однако местные Свидетели не жаловались и были полны энтузиазма.
681,Tekisikö hän todella niin?,"Ты же знаешь, я много хочу сделать. В моих мечтах я с тобой это волшебство"
682,"-Tiedän, kuka on vastuussa siitä.","И... шалфей, который отгонит злых духов. Их много в замке после чумы."
683,Haluaisitko ruveta tutkimaan järjestelmällisesti Raamattua tavoitteenasi tulla Jeesuksen seuraajaksi?,Изенгард начал войну.
684,Ajatteletko vieläkin hänen ikäänsä?,Куда?
685,Entisessä koulussani niitä soi ainakin muutama.,Здесь случился кардинал Версуччи.
686,- 25 tonnista olisi parasta voida.,- Пока не уверен.
687,-Velvollisuus saattaa olla liikaa.,"Когда его выписали из больницы, он был так слаб, что не мог сам о себе заботиться."
688,Entäs se sähläyspallo toisessa erässä?,Ситуация совсем другая.
689,Voimme purkaa sen IR-yhteydellä.,Я не хотел сбивать вас с мысли.
690,- Ei mitään.,"Да, конечно."
691,Metsä-Haltioita.,"А лгала я потому, что хотела, чтобы всё было как раньше."
692,Kameratallenteiden perusteella Tylerin siirtänyt hoitaja on yhä rakennuksessa.,"Но есть и те, кто относится к форуму без энтузиазма."
693,Olen vakavissani.,Нас наголову разобьют.
694,"Se potkaisee meitä ja sanoo: ""Muista rakastaa lähimmäisiäsi.""","Народ говорит, он так сказал."
695,Siinä ei ole kyse rakkaudesta.,Кто еще там был?
696,Mitä siis teemme? Olemme yhteydessä aina vain enemmän.,Вон там проход.
697,Minulla on ideoita.,След.
698,Gretchen sai kenkää. Komealta Steveniltä.,А почему бы и нет?
699,Hyvin pelastettu.,"Крис Озтрайкер: ""Надеюсь тренировать команду сына по лакроссу""."
700,- Aivan. - Se on varmasti uuvuttavaa.,- В чем дело?
701,Veikkaisin että sinulla on tarina tai kaksi meille kerrottavana?,Эрджи? Ты можешь... ты можешь остаться.
702,Mitä nyt tapahtuu?,"- Речи - не мой конёк. - Нет, ты справился."
703,Mitä?,"Она не знает, что принимает их."
704,"Terve, Hudders.",Это вода с хлором?
705,-Niin komennan.,Она в порядке?
706,Kaksi pulloa vettä ja kakku.,Она новая?
707,- Minulla oli molemmat.,Сейчас это далеко не так.
708,Olen.,Это же карандаш.
709,- Lopeta.,Ресторан и бар.
710,Se oli tosi mannymaista jopa minulta.,"Он отбывал срок в тюрьме, что училище, которое имеет только одно текстовое преступления не играют спасибо главного Дэвис мельницы, и он собирается организационных demagogued как того требует организмов, Действительно, было бы заболеваний и так далее и э ... звонки точка записи грамотно по почте что вы никогда не услышите, но Клинтон давая вам спокойной ночи"
711,Uskoakseni hänen elämänsä poikkesi kuitenkin valtaosin omastasi.,Точно. Вспомнил.
712,"Mitä haluaisit tehdä hyvin hänen Euroopan argumentti tee mitään kanssa tekemässä niitä mutta se on, että en halua kiertää joka alkoi saan jigi on ylöspäin nomadi",Сейчас?
713,Luuletko että vauva kestäisi pienen ryypyn?,"Вам ли не знать, что всегда найдётся тот, кто что-то видел."
714,Anna!,- Окей.
715,Sam!,"Общественное мнение, проблемы с законом, связь с 11-ым сентября."
716,Tulla legendaksi?,Я была бы рада.
717,"Päätin olla menemättä, ja hyvä niin!","Я не знаю, как я смогу с этим жить, капитан."
718,Tarkastelemme nyt seuraavia kysymyksiä: Mitä syitä meillä on rohkaista toisia?,Таким образом полицейские... в обход закона наводят порядок в своих районах.
719,Täsmällinen myös.,Спасибо.
720,Olemme teini-ikäisen käsissä.,В нём они прячут свои капсулы с цианидом.
721,Ei vettä. Ei elämää.,- Вот Эрин.
722,En tietenkään.,Тогда я поехал.
723,Pääsin eroon isäni käskyvallasta.,Что?
724,-Minä teen parhaani.,"Если вы положили это туда, то вы подонок."
725,Voi vehnä!,Дай ключи от багажника.
726,- Luovutan. Missä sinä olet?,- Ловко вы нас развели!
727,Onko se mahdollista?,Создает идеальное пересечение. Вот оно. Симметрия.
728,"Surun murtamat sukulaiset ja ystävät usein pohtivat: ’ Ovatko kuolleet todella kuolleita, vai... ’","Просто я не хотела, чтобы ты думал, что я что-то скрываю от тебя."
729,"60 % puhuu äidinkielenään suomea, 36 % ruotsia ja 4% muita kieliä.","Гости прибывают, и вечеринка скоро начнётся."
730,Paikalliset todistajat eivät kuitenkaan valittaneet. He olivat edelleen innoissaan.,Он вернулся.
731,"Mull' paljon on asioita mielessäin unelmoin meidän maailmain, on taikaa",Бейли на грани уже несколько дней.
732,Salviaa karkottamaan levottomat henget.,Профессиональное образование
733,Rautapiha on päästetty valloilleen.,Багира так не считает.
734,Minne?,"– Сэр, я... – Кэрол, мы должны с этим покончить."
735,Kardinaali Versucci.,"Джим! Выйди к нам с мисс Грейс, сынок."
736,- En ole varma.,Это не наши.
737,"Päästyään sairaalasta isä oli aluksi niin huonossa kunnossa, ettei hän itse pystynyt tekemään mitään.","Эбед, нет никаких темных реальностей."
738,Tilanne oli toinen.,"- ƒумаешь, мне все это неизвестно? -  ак насчет вашего участи€?"
739,En aikonut keskeyttää ajatustesi virtaa.,Вы не можете!
740,Totta kai.,"И я бы радость быть состоянии трогать мои деньги на один год, что настолько трудно дать количественную оценку, мы оставим его из уравнения."
741,Halusin taas olla Jennyn ystävä enkä toivonut hänen kuolemaansa.,Увидимся утром.
742,"Tässä on eräs, jota ei ilmiselvästi liikuta siinä mikään.",У тебя есть планы?
743,Saamme kunnolla köniimme.,Он заслуживает лучшего.
744,Jengi puhuu sellaista.,"Я сразу же вспомнила, кем я была."
745,- Keitä muita siellä oli?,Мне не нужна была справедливость. Я жаждала крови.
746,Haarauma on tuossa.,"- Вот так сразу предполагаешь, что... я... - Сколько?"
747,Seuraava,"Ладно, сколько стоит твое молчание?"
748,Miksemme kävisi?,"Айрин любит меня, и я собираюсь на ней жениться"
749,Chris Ostreicher. Toivoo valmentavansa poikansa lacrossejoukkuetta.,- Быстрее!
750,- Eikö olekin omituista?,Ты знаешь правила.
751,"RJ, voit jäädä.","Я читала чей - нибудь комментарий, посылала видеоклип — и так незаметно пролетали часы."
752,En ole mikään puhujamies.,Почему ты говоришь?
753,Hän ei tiedä että ottaa niitä.,"К тому же, это в моих интересах держать тебя при себе."
754,- Onkohan se kloorivettä?,"Вот так, дорогая."
755,Onko hän kunnossa?,"Потом сделать из проволоки петлю, просунуть ее между стеклом и дверью, зацепить фиксатор и открыть замок."
756,Onko se uusi?,Это никогда не закончится.
757,Mutta ei enää.,"Да, очень. Кажется, я перестаралась с кокосовым кремом."
758,Tämä on kynä.,Я должна отвести тебя на дезинфекцию.
759,- Ravintola ja aula.,Не видать нам внуков.
760,"Hän palveli aikansa vankilassa että koulu, jossa on vain yksi teksti rikollisuus ei pelaa kiitos päällikkö davis tehtaat ja hän aikoo organisaation demagogued vaatimaa organismit, jotka todellakin se olisi sairaudet ja niin edelleen ja um ... kehottaa dot ennätys asiantuntevasti postitse että et koskaan kuule vaan Clinton antaa sinulle hyvää yötä","Я, ну, слышал..."
761,Mitä hittoa täällä tapahtuu?,Я активировала твою капсулу.
762,Nyt.,Посмотри на меня.
763,Joku taisi nähdä jotain.,КАМПАНИЯ БЕРНСА ПРОДОЛЖАЕТСЯ НЕЗАВИСИМЫЙ ГОЛОС ЗА БЭЙЛИ
764,Nyt mennään.,Ты слишком умна. - Платим ей 5 баксов за мешок.
765,-Julkisen kuvan vuoksi. Oikeusjuttujen ja 9/11:n vuoksi.,"Что бы это ни было, чего вы хотите должно же быть хоть что-то, да что угодно."
766,Ihanaa!,Запросто собьют собаку.
767,En tiedä voinko enää elää itseni kanssa.,"Тогда все отправились на перепись, каждый в свой город »."
768,"Ajattelen että tuolla on likaisia poliiseja kadulla puhdistamassa katuja omilla likaisilla säännöillään, kaveri.",Выставочный комплекс фонда Taide Vionojaфинский
769,Kiitos.,Это очень большая честь... что вы на борту нашего...
770,- Aaveen syanidihammas.,Что ты делаешь?
771,-Emily.,Штайн сел 20 лет назад.
772,Menen nyt.,Потом она положила его обратно в его постельку и ушла.
773,Mitä?,"Что бы ни случилось, ты и твой ребёнок должны что-то есть. Это еда."
774,"Sinä laitoit nuo tuonne, senkin nilkki.",Неееет! Четверо мальчиков из Колорадо попали в ад.
775,Saanko takaluukun avaimet?,"Ему приходится быть очень осторожным, чтобы не расстроить ее. Ведь это типа может навредить ее здоровью."
776,- Sait meidät jatkamaan.,- Почему Чехов?
777,Siitä tulee täysin symmetrinen.,"Мне понадобилось мужество, чтобы открыться и высказать ему свои сокровенные мысли."
778,"Viimeinen asia mitä tarvitsen on se, että luulet minun salailleen jotain.",Ты такой талантливый фотограф.
779,Vieraat saapuivat ja juhlat alkavat.,"С возвращением, лорд Балем."
780,Irti.,"Он считает себя художником, рукодельник, но я никогда не встречалась с ним."
781,Se on häämöttänyt päiväkausia. Minä pidän Yangin.,Это твой палец? - Что?
782,Ammatillinen koulutus,ты Фрэнки любишь.
783,Bagheera ei ajattele niin.,Тоже мне доктор.
784,Meidän on lopetettava tämä.,Это захватывающее зрелище проберет вас до костей.
785,"Jim, tule minun ja neiti Gracen seuraan.",Я пытаюсь найти закономерность... определяющую связь между евреями и азиатами.
786,Nuo eivät ole meikäläisiä.,Ебыный пиздец!
787,"Abed, ei ole olemassa aikajanoja.",Практически.
788,"- Luuletko, etten tiedä sitä?","Но пока ты живешь дома, тебе надо стараться развить хорошую способность различать и разумность."
789,Ei niin saa tehdä!,— Мишонн...
790,"Ja minulla olisi onni pitää rahani vuoden ajan mikä on vaikeaa mitata, niin että jätämme sen pois laskuista.",Убирайся из моего кабинета.
791,Nähdään aamulla.,Пора мне уезжать.
792,- Onko meillä varaus?,"Если ты не собираешься сразу домой, то, может, зайдешь ко мне?"
793,Hän ansaitsee parempaa.,"Что такое, мамочка?"
794,heti kun suutelimme. minä muistin millainen olin ollut juoksemassa ympäri New Yorkia kuin jokin hullu..,Она расстроилась когда я был здесь в последний раз?
795,"En ollut hakemassa oikeutta, olin hakemassa kostoa.","Мам, хватит."
796,-Olit siis vähän hutikassa?,"Бог вернул Иисуса к жизни, и тот стал прославленным духовным творением."
797,"Hyvä on, miten ostamme sinut hiljaiseksi?",Разве здесь тебе плохо?
798,"Irene rakastaa minua, ja menemme naimisiin.",Для нее ты только инструмент.
799,Nopeasti.,Теперь Гибс пойдёт только на одну сделку – в которой мы признаем свою вину.
800,Tiedät säännöt.,Спасибо. Спасибо вам обоим.
801,"Luin kommentteja, lisäsin pari videota, ja ennen kuin huomasinkaan, olin ollut verkossa useita tunteja.","Ради такого, как ты. Ради того, кто готов бродить по лесу в середине ночи, чтобы защитить друзей."
802,-Siinä ei ole järkeä.,"Будет безопаснее, если я скопирую их."
803,"Sitä paitsi, on oman etuni mukaista pitää langat käsissäni.",Поцелуй меня.
804,"Hyvä, kultaseni.","Я так надеялась, что он напишет."
805,Pam!,Ты обнадёживал меня и Джорджа
806,Tämä ei ikinä lopu.,В белом платье? Черт подери.
807,Panin siihen liikaa kaakaolikööriä.,"Нет, просто поединок между вами и мастером лжи бывает раз в жизни."
808,Minun on laitettava sinut syöpäläissuihkuun.,"Ну, её кредитка говорит об обратном, так что..."
809,Ei lapsenlapsia.,ѕастила напоминает мне о походах с папой.
810,"Niin, kuulin mitä tapahtui.","Такая конструкция предложения, как в этом стихе, указывает на особенность или качество предмета."
811,Aktivoin sinun kapselisi.,Понятно.
812,Katso minua.,Он согласился?
813,"Erinomaista, mr Simpson.",Я не хочу разговаривать.
814,-Maksamme hänelle vitosen säkiltä.,"Немцы пришли...
Нас.
Оба недурственны.
Дамы...
Все только об этом и говорят в Алиби""."
815,"Mitä ikinä tämä onkaan tai mitä te haluattekaan... Täytyy olla jotain, mitä tahansa.",Что? - Нам придется раскошелиться.
816,Saattavat törmätä koiraan.,"Да ну, что вы, я телевизор смотрела."
817,"Siinä sanotaan: ” Koska on talosta taloon suoritettavan väestönlaskennan aika, on tarpeen pakottaa kaikki, jotka mistä tahansa syystä asuvat muualla kuin omalla seudullaan, palaamaan kotiinsa. ”","Герхардт, я не буду дальше платить за детали, которые у вас выходят с четвёртого раза."
818,Taide Vionojasuomi,- Но это простой жёлтый цвет.
819,On suuri kunnia - saada sinut remmiin.,- Говорите!
820,Mitä sinä teet?,"- Ну, слушай."
821,- Ehkä opettajalla oli oma opettaja?,"Эй, парни!"
822,Hän pani lapsen takaisin vuoteeseensa ja lähti.,- Он живёт тут.
823,"Tapahtui mitä tapahtui, sinun ja lapsesi täytyy syödä.",Новый пикап?
824,"- Neljä nuorta poikaa Coloradossa, ovat helvetillisellä matkalla.",Я нe мoгу!
825,Järkytys voi vaarantaa hänen terveytensä.,"Я обнаружил пулю, недалеко от места, где вы задержали отца."
826,Miksi Tsehovia?,"Простите, я случайно услышал."
827,"Hän herätti kuitenkin luottamusta, joten pyysin häneltä neuvoa. ”",- Вы должны уйти.
828,Olet lahjakas valokuvaaja.,"Не надо, Лэри."
829,"Tervetuloa takaisin, lordi Balem.",Помоги-ка Поттеру разложить книги по местам.
830,Hän pitää itseään taiteilijana. En ole tavannut häntä.,И я начал скучать по тебе.
831,- Mitä?,"— Сегодня частная вечеринка, ребята."
832,Tiedät sen. Aivan.,Почему ты не бьёшься за право быть со мной?
833,Olet melkoinen lääkäri!,А эта трещина?
834,"Toiminta on niin tiivistä, että tunnet sen luissasi.",У меня было видение. Это Ганн. Он в беде.
835,Algoritmini määrittelee sen yhteyden. Ei hankalaa.,Диван.
836,No helvetti.,Халил
837,Melko lailla.,"О том, где она живет, где работает..."
838,Mutta siellä asuessasi sinun täytyy työskennellä kovasti kehittääksesi itsessäsi hyvää arvostelukykyä ja järkevyyttä.,"Свидетели угощали ребятишек едой и обращались с ними, как с родными."
839,- Michonne--,- Выписалась?
840,Häivy toimistostani.,"Послушай, Эбби, я знаю, что наши отношения стали странными после расставания."
841,Minun on aika lähteä.,"Я знаю его, так как видела подобное прежде."
842,"Jos et lähde heti kotiin, haluaisitko tulla käymään.",- Вряд ли они ждут большего.
843,"- Mitä nyt, äiti?","Но, мы не можем найти ""ДСВДЕФЛ""."
844,Oliko hän järkyttynyt viimeksi kun olin täällä?,Работодатель выражает благодарность.
845,"Lopeta, äiti.",Разве можно полагаться на русских?
846,Hän herätti Jeesuksen kuolleista loistoisaksi henkiolennoksi.,"Одна проблема - все дети, закупающиеся в магазине, обожают баскетбол."
847,Etkö ole onnellinen täällä?,"- У тебя нет собственной коронной фразы! - Но, это прикольно."
848,Hän käyttää sinua hyväkseen.,– Она живёт дальше. – Видишь?
849,"Ainoa diili, johon Gibbs suostuu, on sinun tuhoaminen.",Я здесь из-за тебя.
850,Kiitos teille molemmille.,Это ты так понял.
851,Sinulaisesi joka on yöllä metsässä suojellakseen ystäviään.,"- Мариан, прошу тебя, выйди."
852,-Se on turvallisinta kopioida.,— Или туберозный склероз. Хмм.
853,Anna minulle suukko.,! А-а!
854,"Luulin todella, että hän tekstaisi.",На верху.
855,Sinä rohkaisit minua ja Georgea.,А теперь слегка тормозни.
856,Valkoisessa mekossa?,Миссия прежде всего.
857,"Ei, kuulustelet mestarivalehtelijaa... -...ja se on hyvä tilaisuus.","Тогда, боюсь, вы обратились не к тому человеку."
858,"kun hän kävi täällä. Kuitit kertovat muuta, joten...",Нравится? - Нет.
859,Lapsena paahdettiin vaahtokarkkeja nuotiolla.,Мне плевать.
860,Tässä jakeessa tällainen lauserakenne viittaa subjektin luonteeseen tai laatuun.,И какие последствия!
861,Ymmärrän.,Кто тебя назвал лузером?
862,Suostuiko hän?,"Рик, но это единственный выход."
863,En halua puhua.,"Прости, я слушаю."
864,"Painukaa helvettiin.""","Смотри, что моя мама сшила для представления."
865,Meidät?,- Привет! -Привет!
866,Pidämme pähkinöistä.,"Эй, кто-нибудь..."
867,Neidit...,Я хочу пойти с тобой.
868,Tribune nimesi tämän seudun nousevaksi.,"— Что? ! Нет, нет, нет!"
869,Paljonko teillä on?,"Он сказал ему: брат твой пришел, и отец твой заколол откормленного теленка, потому что принял его здоровым."
870,Katselin vain TV: tä.,Другие отойдут от веры и будут предавать и ненавидеть друг друга.
871,"En maksa osista, - jotka teet kolme kertaa väärin.","Билл Крогстэд сказал, что мы будем жить вместе."
872,Sehän on vain tavallinen keltainen.,Этот злобный мудак и пушку к его голове приставил?
873,- Sanokaa se!,Брайан был не просто моим псом. Он был моим самым лучшем другом во всем мире.
874,Hyvä on.,Боже мой.
875,"Hei, kaverit.","Мертвые уходят, а жизнь остается для живущих."
876,- Hän asuu täällä.,Страшные слова...
877,Uuden avolava-auton?,Стоматологическая поликлиника Пюхяйоки
878,En voi hyväksyä sitä!,"Библия ясно показывает, кто несет ответственность давать такое руководство: « Отцы, не раздражайте детей ваших, но воспитывайте их в учении и наставлении Господнем [Иеговы, Н﻿  »."
879,"- Löysin luodin sieltä, missä isäni pidätettiin","Эмоционально я страдала еще больше, чем Фрэнк."
880,Kuulin keskustelunne.,"Когда мы вернулись в Штаты, она вернула это назад. Я понял."
881,Ottakaa hänet mukaan.,"Мне повезло, что в моих туфлях был не я »."
882,Älä avaa sitä.,Я не использовала его... Он хотел участвовать.
883,Auttaisitko Potteria laittamaan kirjat takaisin?,"Если не будет Готэма, я больше не смогу с тобой бороться."
884,Aloin ikävöidä sinua.,Вы позвонили Шарлотте.
885,- Yksityisilta tänään.,— Что ты видишь?
886,Mikset sinä tunne hermostuneisuutta minun seurassa?,Это ведь его машина?
887,- Entäs tämä halkeama?,Их семьи ждут ответа. Ты можешь его им дать.
888,"Minusta tuntuu, että Gunn on pahassa pulassa.",что?
889,- Sohva.,"А то, как он ушел... Это просто какая-то бессмыслица!"
890,Khalil.,Знаешь что? Мне только одно интересно.
891,Hän valehteli asuinpaikastaan ja työstään.,Вы могли просто сказать что он чокнутый.
892,Todistajat jakoivat ruokansa lasten kanssa ja kohtelivat heitä aivan kuin omia perheenjäseniään.,"Голдберг, мне нужна твоя помощь."
893,Kirjoittautui ulos?,"Я держу тебя, Скотт."
894,- Välimme ovat nykyään oudot.,У Лэна Чесса две крутые машины.
895,"Tiedän sen, koska olen nähnyt sen aiemmin.",Реализуем мое предложение.
896,He voivat tuskin odottaa enempää.,"Вы должны будете назвать его ""D""."
897,Mutta emme löydä FLDSMDRR:ää.,"Нет, мы должны об этом поговорить. Брайн, я не думаю, что это хорошая идея."
898,Työnantajani lähettää kiitoksensa.,"Он бы выложил вашему мужу все о вас, если бы вы не раскошелились."
899,Miten voimme luottaa venäläisiin?,"В местности Камигата, люди, выходя посмотреть на цветы, берут с собой завтрак в небольшой коробочке."
900,On vain yksi ongelma. Kaikki asiakkaani ovat korisfaneja.,Осторожно!
901,Mutta se on hauska.,Пока.
902,- Jatkoi eteenpäin.,Я в Вассаре.
903,Olen täällä sinun takiasi.,Многовековая кладезь мудрости.
904,Se on olettamus.,"Но давай начнём с того, что ты опустишь свою пушку до того, как я отберу её и скормлю тебе. - Думаешь, я поверю копу?"
905,- Anteeksi. Mikä on vialla?,"Вероятно, нам стоит спуститься вниз к остальным..."
906,- Tai luukovettuma.,Нет. Что-то случилось.
907,"- Costa, pidä näitä.","Мы все застряли в одном захолустье. Здесь нет мест, где можно что-то спрятать."
908,Se on ylhäällä.,"Ну, это может быть русский мафиози, который хочет оторвать мне голову, и скормить своему мастифу, верно?"
909,"Nyt vähän jarrua, vain hennosti.","Да, Верно."
910,"TARKKAILKAA, ÄLKÄÄ HYÖKÄTKÖ","До свидания, Кар."
911,Sitten kysyt väärältä mieheltä.,Чтобы... чтобы мы все могли поехать в круиз как семья.
912,–Tykkäätkö?,"Ты должен остановить её, она недостаточно сильна!"
913,- En Välitä.,- Что я должен сделать?
914,Ja millaisista seurauksista!,"Он сказал моавитскому царю Валаку, что Бог сам проклянет Израиль, если склонить людей к блуду."
915,Kuka sanoi sinua luuseriksi?,- Да ладно. Тебе не выиграть перевыборы если их Комитет не вложит десять миллионов в твою кампанию.
916,Se on ainoa keinosi selvitä.,Проклятье! Мы почти на месте!
917,"Anteeksi, minä kuuntelen.","Я ничего не спрашивал о ""Уотергейте""."
918,Katso mitä äiti teki esitystä varten.,"Детектив Арчи Гаррет, правая рука Сида."
919,Tunnen halunne.,Не тянулся он к твоему пистолету.
920,Joku...,"Послушай слова, которые вылетают из твоего рта."
921,Haluan mukaasi.,"Только твой отец может отключить ""Скайнет""."
922,Eikä!,Вон их мерседес.
923,"Niin hän kutsui yhden palvelijoista luokseen ja tiedusteli, mitä nämä merkitsivät. Hän sanoi hänelle: ’ Veljesi on tullut, ja isäsi teurasti syötetyn nuoren sonnin, koska sai hänet terveenä takaisin. ’","обычный китайский новогодний привет подчеркивает материальный успех — то, что сегодня принято во всем мире."
924,Jotkut kompastuisivat ja kavaltaisivat toisensa ja vihaisivat toisiaan.,"У меня теперь две новых руки, Блэйд."
925,"Bill Krogstad sanoi, että olemme huonetovereita.",Почему они действовали быстро и решительно?
926,Ampuiko se paha mulkero häntä?,Что я вам говорил?
927,"Tämä on pahinta kipua, mitä olen koskaan tuntenut, ja olen nyrjäyttänyt nilkkani kahdesti.",Я хочу спросить вас о перестрелке.
928,Jestas.,Вычисляю маршрут.
929,Kuolleet siirtyvät Tuonelaan - ja elämä on eläviä varten.,Я даже со светом никого не вижу.
930,Mainitsit juuri pelottavan v-sanan.,Прочитайте точку зрения Библии.
931,Pyhäjoen hammashoitola,Я твой давно потерянный кузен Ральф.
932,"Raamattu tekee selväksi, kenen vastuulla näiden neuvojen antaminen on: ” Isät, älkää ärsyttäkö lapsianne, vaan kasvattakaa heitä jatkuvasti Jehovan kurissa ja mielenohjauksessa. ” – Efesolaisille 6: 4.",А вот и питчер.
933,Minun tunneperäinen tuskani on ollut kuitenkin raastavampaa kuin Frankin.,"Я уже давал тебе шанс подумать, и не один раз, а теперь вот это."
934,"Kun palasimme Amerikkaan, hän antoi sen takaisin.",Это наш город. Наши люди.
935,"Iloitsen siitä, etten itse ollut kengissäni. ”",Постой.
936,Hän halusi osallistua.,"Ну, люди, которые ходят во сне, могут делать странные вещи. Один парень спустился на кухню и приготовил всю еду."
937,"Jos ei ole Gothamia, en saa koskaan enää taistella sinua vastaan.","Циско, можно идти."
938,Jätä viesti.,Джойс вероятнее всего вступил бы в связь? Ну есть...
939,- Mitä näet?,Прекратите. Прекратите.
940,Se oli hänen autonsa.,Это одна из лучших больниц в центре или где бы то ни было.
941,Voit auttaa heitä kauttamme.,"Хорошее чутье, Том."
942,- Mitä?,Рипли и Уэллс уже должны были закончить приготовления.
943,"Tapa, jolla hän lähti, - siinä ei ole mitään järkeä.",Даже на востоке?
944,Haluaisin tietää yhden jutun.,"Только представьте, как она удивилась, когда Иисус сказал: « Я — воскресение и жизнь » — и воскресил ее брата!."
945,"- Olisit sanonut, että hän on hullu.","Церкви т. наз. христианства так же приняли языческие праздники в их « христианскую » традицию, как и японцы приняли Рождество в их буддийскую и шинтоистскую культуры."
946,Goldberg. Tarvitsen apuasi. Älä karista häntä!,- Энджел.
947,Ymmärrän sinua Scott.,"Да, сейчас."
948,Len Chess on ostanut kaksi siistiä autoa.,Рядом с Бруларом я бы не появлялся обкуренным.
949,- Yritän toteuttaa tarjoustani.,Что бы ни было береги себя
950,Sinun täytyy kutsua häntä D:ksi.,"Все шло гладко, пока вас не увела мисс Брукс."
951,"Brian, tämä ei ole hyvä ajatus.","Я спрашиваю, ""кто""."
952,"Amthor aikoi kertoa miehellesi, ellei saisi korua.",Я отключила силовое поле.
953,"Kamigatan alueella käytetään kerroksittaisia eväsrasioita. Niitä käytetään vain kerran, kun mennään katsomaan kirsikankukkia.","Я хотела бы, чтобы она видела нас сейчас."
954,-Varokaa!,"У меня был Первый Клинок, а теперь в комплекте и Печать Каина."
955,Toistaiseksi.,"Чаще пожилые американцы умирают только в результате падения и автокатастроф, если говорить о смерти от телесных повреждений."
956,Minä kävin Vassaria.,"..у него выходной, не его смена..."
957,Puhumattakaan niiden sisältämästä vuosisatojen viisaudesta.,Что он сказал про Дезире?
958,Kiitos.,"Джимбо уже 6 лет не скрьIвает, что он голубой но он еще ни разу не бьIл на свидании с мужиком."
959,Meidän pitäisi mennä alakertaan muiden seuraan.,"Потому что вас, в конце концов, будут помнить."
960,- Jotain tapahtui.,"Твой муж - врач, Ванесса."
961,Ei sitä saa minnekään piilotettua.,- Отлично.
962,"Venäläismafiosoa, joka syöttäisi pääni mastiffilleen.",Отходим!
963,Juuri niin.,Пойдем.
964,"Hei sitten, Car.","В любом случае, я...мне было интересно..."
965,Jotta pääsimme risteilylle perheenä.,"Боже, все ответы великолепные."
966,Sinun on pysäytettävä hänet. Hän ei ole tarpeeksi vahva.,"Значит, мы ищем пропавшее оружие."
967,- Mitä minun pitäisi tehdä?,Теперь я делаю это регулярно.
968,"Hän kertoi moabilaisten kuninkaalle Balakille, että Jumala kiroaisi Israelin, jos kansa voitaisiin houkutella syyllistymään haureuteen.",Умора.
969,"Et olisi voittanut vaaleja, elleivät he olisi heittäneet 10 miljoonaa vaalikampanjaasi.","Зоуи, я не ставлю крест на нас с тобой."
970,"- Vittu, onko tämä loppumme?",- Грэйс.
971,En kysynyt mitään Watergatesta.,Так то лучше.
972,"Etsivä Archie Garrett, Sidin oikea käsi.",Доктор Зло похитил ядерную боеголовку... из Головкистана.
