,english,finnish
610,Godwin's law teaches us that any infinite discussion about an arbitrary subject converges to a Nazi comparison.,"Godwinin laki opettaa meille, että ääretön keskustelu satunnaisesta aiheesta lähentyy natsivertausta."
611,Tom wasn't interested.,Tom ei ollut kiinnostunut.
612,It's Mother's Day today.,Tänään on äitienpäivä.
613,Tom blamed the teacher for his failure.,Tom syytti opettajaa epäonnistumisestaan.
614,Peach trees require lots of sunshine.,Persikkapuut tarvitsevat paljon auringonvaloa.
615,This sofa takes too much room.,Tämä sohva vie liikaa tilaa.
616,I don't think we should be fighting.,Minusta meidän ei pitäisi tapella.
617,She was the brightest and gayest of all present.,Hän oli terävin ja iloisin kaikista läsnäolijoista.
618,I'm about the same age as you are.,Olen suurin piirtein saman ikäinen kuin sinä.
619,I don't want to talk about Tom.,Minä en halua puhua Tomista.
620,"Tom did what he could for Mary, but it wasn't enough.","Tom teki voitavansa Maryn eteen, mutta se ei ollut riittävästi."
621,Tom asked Mary if she was planning to do that.,"Tomi kysyi Marilta, että aikooko hän tehdä tuota."
622,I saw Tom a short time ago.,Näin Tomin vähän aikaa sitten.
623,Does depreciation of the yen give rise to inflation?,Nostaako jenin arvon alentuminen inflaatiota?
624,I go to school by subway.,Mä meen kouluun metrol.
625,What makes the noise?,Mikä pitää tuollaista ääntä?
626,Is it true that you weren't here yesterday?,"Onko se totta, että et ollut tässä eilen?"
627,You've got to be joking!,Et voi olla tosissasi.
628,Get your paws off of me.,Älä koske minuun.
629,Tom talked with Mary yesterday.,Tom puhui Marin kanssa eilen.
630,Tom doesn't drink alcoholic drinks at all.,Tom ei juo ollenkaan alkoholia.
631,Would you mind shutting the door?,Voisitko sulkea oven?
632,My sister suffers from osteoporosis.,Siskoni sairastaa osteoporoosia.
633,I think about you every time I brush my teeth.,"Ajattelen sinua joka kerta, kun harjaan hampaani."
634,You don't even know how.,Et edes tiedä kuinka.
635,You're rude.,Olet töykeä.
636,Tom showed Mary some photos of John.,Tom näytti Marille joitakin kuvia Jonista.
637,I walk to work every day.,Kävelen työhön joka päivä.
638,You'll stay put.,Sinä pysyt siinä.
639,A hard wind is blowing.,Tuulee kovasti.
640,I must make a call.,Mun pitää soittaa puhelu.
641,It's fascinating.,Se on kiehtova.
642,Tom told me he was sad.,"Tom kertoi minulle, että hän oli surullinen."
643,Tom didn't tell me who to give this to.,Tom ei kertonut minulle kenelle antaa tämä.
644,Tom wanted to sell it.,Tom halusi myydä sen.
645,Tom bought two copies of the book.,Tom osti sitä kirjaa kaksin kappalein.
646,"Tom is older, but not wiser.",Tomi on vanhempi muttei viisaampi
647,Do you like going to school?,Käytkö mielelläsi koulussa?
648,I was at a party with some friends when I met Tom.,"Olin juhlissa muutaman kaverini kanssa, kun tapasin Tomin."
649,"The most important Shinto event takes place in the New Year, when millions of people visit shrines to pray for happiness and a healthy year.","Tärkein shinto-tapahtuma on uusi vuosi, jolloin miljoonat ihmiset käyvät pyhäköissä rukoilemassa onnellista ja tervettä vuotta."
650,I am required to study well.,Minun edellytetään opiskelevan hyvin.
651,Most people don't even scratch the surface of the human mind's capacity for memorization.,Suurin osa ihmisistä ei raapaise edes pintaa ihmismielen muistikyvystä.
652,Tom said that he's bored.,"Tomi sanoi, että hänellä oli tylsää."
653,I don't speak a word of French.,En puhu sanaakaan ranskaa.
654,Would you like something to drink?,Maistuisiko juotava?
655,Tom resigned.,Tomi sanoutui irti.
656,She explained to me that we throw away too much garbage.,Hän selitti minulle että me heitämme pois liikaa jätettä.
657,I've just started playing tennis.,Olen juuri aloittanut tenniksen pelaamisen.
658,I'm not unemployed.,En ole työtön.
659,Tom saw a squirrel in the distance.,Tomi näki oravan kaukaisuudessa.
660,I had my only son die of cancer.,Ainoa poikani kuoli syöpään.
661,You're not going in there.,Sinä et muuten mene sinne.
662,"One magazine is for boys, and another for girls.",Yksi lehti on pojille ja toinen tytöille.
663,He pulled the rope.,Hän veti köyttä.
664,Where did you stay?,Mihin te majoituitte?
665,Tom didn't have to listen to Mary.,Tomin ei tarvinnut kuunnella Marya.
666,I'm a bit hungry.,Minulla on vähän nälkä.
667,He stopped drinking.,Hän lopetti juomisen.
668,Now you do it.,Tee sinä se nyt.
669,I've been waiting for the right moment.,Olen odottanut oikeaa hetkeä.
670,I sneeze all the time.,Minä aivastelen jatkuvasti.
671,His house is on the skirts of the city.,Hänen talonsa on kaupungin laidalla.
672,She thinks I'm stupid.,Hänen mielestään minä olen tyhmä.
673,Do you know the way?,Tiedätkö sinä reitin?
674,I wonder why Tom said that.,Miksiköhän Tomi sanoi niin?
675,Tom asked Mary not to leave him alone.,"Tomi pyysi Marilta, ettei Mari jättäisi häntä yksin."
676,He always leaves home at seven.,Hän lähtee aina kotoa seitsemältä.
677,I'm a natural blonde.,Hiukseni ovat luonnostaan vaaleat.
678,I do not regret meeting you.,En kadu sinun tapaamistasi.
679,He’ll say if he doesn’t agree.,"Hän kyllä sanoo, jos hän ei ole samaa mieltä."
680,I guess Tom and Mary aren't home.,Tom ja Mary eivät varmaan ole kotona.
681,He likes to get on the horse and go out.,Hän tykkää nousta hevosen ratsaille ja lähteä ulos.
682,I miss her.,Minulla on ikävä häntä.
683,Love hurts.,Rakkaus sattuu.
684,Tom enjoyed himself a lot at the party.,Tom piti kovasti hauskaa juhlissa.
685,I'm a zombie!,Olen zombi!
686,"Don't worry! Even if I drink, it doesn't have an effect on my driving.","Ei huolta! Vaikka juonkin, se ei vaikuta ajokykyyni."
687,The door is locked.,Se ovi on lukittu.
688,I was never mad at you.,En koskaan ollut sinulle vihainen.
689,Therefore?,Ja sitten?
690,They're asleep.,He ovat unessa.
691,We have nothing to hide.,"Ei meillä ole mitään, mitä meidän pitäisi salata."
692,"Why weren't you at the meeting? ""Something came up.""","Miksi et ollut kokouksessa? ""Sattui eräs asia."""
693,May the new year bring you happiness!,Tuokoot uusi vuosi sinulle onnellisuutta tullessaan!
694,Who does Toshio like?,Kenestä Toshio tykkää?
695,I can't stand hospitals.,En kestä sairaaloita.
696,"In order to understand the present, one has to consider the past.",Ymmärtääksensä nykyhetkeä täytyy pohtia mennyttä.
697,I read a book.,Luin kirjan.
698,I just don't buy it.,En vain osta sitä.
699,It's not exactly a secret.,Se ei ole tarkalleen ottaen salaisuus.
700,You seem really familiar.,Näytät varsin tutulta.
701,He is in charge of the class.,Hän on vastuussa siitä luokasta.
702,Where's the station?,Missä on se asema?
703,Tom talks a lot about Australia.,Tomi puhuu paljon Australiasta.
704,The fire was out.,Tuli oli sammunut.
705,"It's estimated that, over our lifetime, we spend up to six months standing in queues.","On arvioitu, että olemme jonoissa kuusi kuukautta elämästämme."
706,I think Tom and Mary like each other.,"Minusta tuntuu siltä, että Tomi ja Mari pitävät toisistaan."
707,Your friends are worried about you.,Ystäväsi ovat huolissaan sinusta.
708,The man ate the bread.,Mies söi leivän.
709,I don't drink anymore.,En juo enää.
710,There are billions of people all over the world who are not watching the World Cup right now.,"Ympäri maailman on miljoonia ihmisiä, jotka eivät juuri nyt katso MM-kisoja."
711,The unemployment rate went up to 5%.,Työttömyysaste nousi viiteen prosenttiin (5%:iin).
712,Do you like eating fish?,Pidätkö kalasta?
713,Hurry back.,Tule pian takaisin.
714,I don't support his ideas.,En kannata hänen ideoitaan.
715,My teacher drove me home.,Minun opettajani vei minut kotiin.
716,Don't ask what they think. Ask what they do.,Älä kysy mitä he ajattelevat. Kysy mitä he tekevät.
717,Tom didn't have Mary's phone number.,Tomilla ei ollut Marin puhelinnumeroa.
718,And what about a coffee?,Entä kahvi?
719,She is pregnant.,Hän on raskaana.
720,Mary started that.,Mary aloitti.
721,Mary fell asleep halfway through the movie.,Mari nukahti elokuvan keskivaiheilla.
722,The lamp is hanging from the ceiling.,Lamppu riippuu katosta.
723,She suddenly lost consciousness.,Äkkiä hän menetti tajuntansa.
724,I bought this computer one year ago and it's already a dinosaur.,Ostin tämän tietokoneen vuosi sitten ja se on jo täysi fossiili.
725,Do what you wish.,Tee mitä haluat.
726,Go and look for Tom.,Mene etsimään Tomia.
727,Keep in touch!,Pidähän yhteyttä!
728,Why were you with him?,Miksi olitte hänen seurassaan?
729,You've been spotted.,Sinut on havaittu.
730,He made up his mind to become a pilot.,Hän päätti kouluttautua lentäjäksi.
731,Are you going to the party?,Menettekö te juhlaan?
732,They believed it might lead to war with Britain.,"He uskoivat, että se voisi aiheuttaa sodan Britannian kanssa."
733,A number of people die in traffic accidents.,Lukuisia ihmisiä kuolee liikenneonnettomuuksissa.
734,My daughter breeds African cichlids from Lake Malawi.,Tyttäreni kasvattaa afrikkalaisia Njassajärven kirjoahvenia.
735,What is your age?,Minkä ikäinen sinä olet?
736,You must keep your promise.,Sinun täytyy pitää lupauksesi.
737,I was absent from school because I had a cold.,Olin flunssan takia poissa koulusta.
738,Do you think Tom kissed Mary?,"Luuletko, että Tom suuteli Maria?"
739,Tom'll be ready.,Tom on valmiina.
740,Tom's a great actor.,Tom on mahtava näyttelijä.
741,I told Tom I had plans.,"Kerroin Tomille, että minulla on suunnitelmia."
742,The tradesman has the same religion all over the world.,Kauppamiehillä on sama uskonto kaikkialla maailmassa.
743,Check the calendar.,Katso kalenterista.
744,At least we have a roof over our heads.,Meillä on ainakin katto päämme päällä.
745,Tom can swim well.,Tom osaa uida hyvin.
746,I still remember Tom.,Muistan vielä Tomin.
747,Soccer is the most popular sport in Brazil.,Brasiliassa jalkapallo on suosituin urheilulaji.
748,They have solved the problem once and for all.,Ongelma on ratkaistu lopullisesti.
749,She isn't poor.,Hän ei ole köyhä.
750,Tom didn't seem angry.,Tomi ei vaikuttanut vihaiselta.
751,Is that right?,Niinkö?
752,The tiger escaped from the zoo.,Tiikeri karkasi eläintarhasta.
753,I think you're underestimating Tom.,"Luulen, että aliarvioit Tomia."
754,"You don't think I'm right, do you?","Ette taida uskoa että olen oikeassa, vai mitä?"
755,I never speak French anymore.,En puhu ranskaa enää ikinä.
756,When are you going to Europe?,Milloin te olette menossa Eurooppaan?
757,He never asked me.,Hän ei koskaan kysynyt minulta.
758,Tom was careful not to leave any evidence.,"Tom piti tarkasti huolta siitä, ettei hän jättänyt yhtään todisteita."
759,Our server will be offline on October 20th for scheduled maintenance.,Palvelimemme on poissa käytöstä lokakuun 20. päivä suunniteltujen huoltotoimenpiteiden takia.
760,I plan to stay there a week.,Aion viettää siellä viikon.
761,There's just one chair left.,Jäljellä on vain yksi tuoli.
762,"I was looking at the dog, but, with another look, it had turned into a cat.","Katselin koiraa, mutta kun katsoin tarkemmin, se olikin muuttunut kissaksi."
763,Tom pulled the mask off his face.,Tomi otti naamion pois kasvoiltaan.
764,May I try it?,Saisinko kokeilla sitä?
765,They're asleep.,He ovat nukkumassa.
766,It was no big deal.,Se ei ollut mikään iso juttu.
767,Her expectations are too high.,Hänen odotuksensa ovat liian kovat.
768,I think we should change the topic.,Minun mielestäni meidän pitäisi vaihtaa aihetta.
769,Will you wait a minute?,Odotatko hetken?
770,It was a horrible scene.,Kohtaus oli kauhea.
771,I didn't know it was a big deal.,"En tiennyt, että se olisi iso juttu."
772,Tom has a hairy back.,Tomilla on karvainen selkä.
773,How did you get Tom to laugh?,Miten sinä sait Tomin nauramaan?
774,Tom listened to the sounds of the forest.,Tomi kuunteli metsän ääniä.
775,"Sit down, please.","Istu alas, ole hyvä."
776,The professor is in Japan on sabbatical leave.,Professori on Japanissa sapattivapaalla.
777,What did you buy?,Mitä sinä ostit?
778,My car isn't for sale.,Autoni ei ole myytävänä.
779,He is able to speak five languages.,Hän osaa puhua viittä kieltä.
780,Right?,Eikö?
781,Tom is proficient in French.,Tom puhuu ranskaa etevästi.
782,"Tom came downstairs, so we stopped kissing immediately.","Tom tuli alakertaan, joten me lopetimme suutelun välittömästi."
783,Are you proud of your father?,Ooksä ylpeä sun isästä?
784,A person named West called while you were out.,West-niminen henkilö soitti sinä aikana kun olit poissa kotoa.
785,Tom was the only one who helped me.,"Tomi oli ainoa, joka auttoi minua."
786,Who came?,Kuka tuli?
787,Do as he says.,Tee niin kuin hän käskee.
788,Tom pointed toward the ceiling.,Tomi osoitti kohti kattoa.
789,I saw a plane.,Näin lentokoneen.
790,Rock breaks scissors. Scissors cut paper. Paper smothers rock.,Kivi särkee sakset. Sakset leikkaavat paperin. Paperi tukahduttaa kiven.
791,"But as he was always spending money, and never made any more, at last the day came when he had nothing left but two shillings.","Mutta koska hän alati törssäsi rahaa, eikä koskaan tienannut sen enempää, koitti lopulta päivä, jolloin hänellä oli jäljellä kurjat kaksi shillinkiä."
792,You're going to like it.,Sinä tulet pitämään siitä.
793,I'm sure Tom is OK.,Olen varma että Tom on OK.
794,I'm really going to enjoy myself.,Nautin siitä itse varmasti todella paljon.
795,The functions sine and cosine take values between -1 and 1 (-1 and 1 included).,Sini- ja kosinifunktiot ottavat arvoja lukujen -1 ja 1 väliltä (-1 ja 1 mukaanluettuina).
796,Everybody looks surprised and a little confused.,Kaikki näyttävät yllättyneiltä ja vähän hämmentyneiltä.
797,Is Tom still mad?,Onko Tomi yhä vihainen?
798,Whoever said money can't buy happiness simply didn't know where to go shopping.,"Kuka ikinä sanoikin, ettei rahalla voi ostaa onnea, ei vain tiennyt, missä käydä ostoksilla."
799,What does that have to do with Tom?,Miten se liittyy Tomiin?
800,You'll never know unless you try.,"Ette saa ikinä tietää, jollette koeta."
801,May I eat this apple?,"Onko OK, jos syön tämän omenan?"
802,"The surface of a balloon is not an Euclidean space, and therefore does not follow the rules of Euclidean geometry.","Ilmapallon pinta ei ole euklidinen avaruus, eikä siksi noudata euklidisen geometrian sääntöjä."
803,The fly buzzes.,Kärpänen surisee.
804,Why didn't you help me?,Miksi et auttanut minua?
805,Did you vote?,Äänestitkö?
806,What I have to tell you is very important.,Se mitä minun täytyy kertoa sinulle on hyvin tärkeää.
807,A pinch hitter was brought into action in the last inning.,Vaihtolyöjä otetiin peliin viimeisellä vuoroparilla.
808,Don't be modest!,Älä ole vaatimaton.
809,Tom pulled a piece of paper out of his pocket.,Tom veti paperilapun ulos taskustaan.
810,I'll return at 6:30.,Palaan puoli seitsemältä.
811,Tom was upset.,Tomi oli poissa tolaltaan.
812,Nice that you achieved your goals.,Hyvä että saavutit tavoitteesi.
813,The bookstore is near the park.,Kirjakauppa on puiston lähellä.
814,He came amiss.,Hän tuli sopimattomaan aikaan.
815,Tom was about to make the most important phone call of his life.,Tom oli juuri aikeissa soittaa elämänsä tärkeimmän puhelun.
816,The teacher is fresh from college.,Opettaja on valmistunut juuri yliopistosta.
817,Are you and Tom coming to the party?,Tuletteko sinä ja Tom juhliin?
818,I don't need glasses anymore.,En tarvitse enää silmälaseja.
819,Tom has a short temper.,Tom on kärsimätön.
820,Tom should listen to me.,Tomin pitäisi kuunnella minua.
821,Tom told Mary that he wanted a divorce.,Tomi kertoi Marille haluavansa avioeron.
822,I think I'm lost.,Luulen olevani eksyksissä.
823,We stopped talking so that we could hear the music.,Lopetimme juttelun jotta voimme kuulla musiikin.
824,My feet hurt.,Jalkani olivat kipeät.
825,Tom and Mary chose Hawaii for their honeymoon.,Tom ja Mari valitsivat häämatkakohteekseen Hawaijin.
826,It's essential that we find them.,Meidän on välttämätöntä löytää ne.
827,Therein lies the problem.,Tässä ongelma juuri piileekin.
828,Tom is a millionaire several times over.,Tomi on monimiljonääri.
829,He nearly got away with it.,Hän melkein pääsi pälkähästä.
830,Tom doesn't speak any French.,Tom ei puhu lainkaan ranskaa.
831,It was nice and warm inside the house.,Talon sisällä oli mukavaa ja lämmintä.
832,He hit me on the head.,Hän osui minua päähän.
833,It's very clean.,Se on todella puhdas.
834,Most people think I'm crazy.,Useimmat pitävät minua hulluna.
835,"Close your eyes, please.",Sulkekaa silmänne.
836,Tatoeba is so fast! I can't believe it!,Tatoeba on niin nopea! En voi uskoa tätä!
837,I had to leave Boston.,Minun täytyi lähteä Bostonista.
838,I am very tired after a class.,Olen hyvin väsynyt oppitunnin jälkeen.
839,What's its name?,Mikä on sen nimi?
840,Do you feel better today?,Onko tänään parempi olo?
841,Do you think she still loves my letters?,Luuletko että hän edelleen rakastaa kirjeitäni?
842,There's one little problem.,Tässä on pieni ongelma.
843,Tom can't keep a secret.,Tomi ei osaa pitää salaisuuksia.
844,He is always complaining.,Aina hän valittaa.
845,Please come.,Tulethan?
846,Stop showing off!,Lopeta leuhkiminen!
847,Is Tom still single?,Onko Tomi yhä poikamies?
848,Tom wasn't upset by what Mary said.,Tom ei mennyt tolaltaan siitä mitä Mari sanoi.
849,Do you know how to eat with chopsticks?,Osaatko syödä puikoilla?
850,Let's finish this.,Lopetetaan tämä tähän.
851,They're surprisingly good.,He ovat yllättävän hyviä.
852,Tom and Mary are on their way here now.,Tom ja Mari ovat nyt matkalla tänne.
853,"Tom knocked on the door, but nobody answered.","Tom koputti oveen, mutta kukaan ei avannut."
854,I don't care what people think.,"Minua ei kiinnosta, mitä muut ajattelevat."
855,Have you been here all night?,Oletko ollut täällä koko yön?
856,Escape!,Paetkaa!
857,She cannot stop it.,Hän ei pysty pysäyttämään sitä.
858,I'm not insane.,Minä en ole sekaisin päästäni.
859,I'm little worried about Tom.,Olen vähän huolissani Tomista.
860,Tom turned on the air conditioner and the apartment began to cool down.,Tom käynnisti ilmastointilaitteen ja asunto alkoi viilentyä.
861,Tom realizes Mary doesn't like him very much.,Tom huomaa ettei Mary pidä hänestä kovin paljoa.
862,Who swam?,Kuka ui?
863,I like rice.,Pidän riisistä.
864,Can he speak French?,Osaako hän puhua ranskaa?
865,Writings by ethnic minorities begin to reach a critical mass.,Etnisten vähemmistöjen kirjoitukset alkavat saavuttaa kriittisen massan.
866,I don't care for ice cream.,En välitä jäätelöstä.
867,May I speak to Tom?,Saisinko Tomin puhelimeen?
868,Tom is overwhelmed.,Tomi on ylikuormitettu.
869,I didn't believe you.,En uskonut sinua.
870,Do you want to tell me anything about Tom?,Haluatko sanoa minulle jotain Tomista?
871,An idea came to me.,Sain idean.
872,Last night we worked until 10 p.m.,Eilen illalla teimme töitä kymmeneen saakka.
873,"At last the large egg broke, and a young one crept forth crying, ""Peep, peep."" It was very large and ugly. The duck stared at it and exclaimed, ""It is very large and not at all like the others.""","Viimeinkin suuri muna särkyi ja paljastui ankanpoikanen, joka rääkyi: ""Piip, piip."" Se oli erittäin suuri ja ruma. Ankka tuijotti sitä ja julisti: ""Se on hyvin suuri, eikä yhtään toistenlainen."""
874,Tom is a typical high school student.,Tom on tyypillinen lukiolainen.
875,I told Tom that.,Kerroin Tomille sen.
876,His parents ran a hotel.,Hänen vanhempansa pitivät hotellia.
877,Mary's father was a sailor who never came back.,"Marin isä oli merimies, joka ei koskaan palannut."
878,I told you it was a scam.,"Minähän sanoin sinulle, että se on huijaus."
879,Poverty is probably more difficult in colder climes.,Köyhyys on luultavasti vaikeampaa kylmemmillä seuduilla.
880,Tom answered my question.,Tomi vastasi kysymykseeni.
881,What're you thinking?,Mitä sinä mietit?
882,Please don't torment me any longer.,Älä piinaa minua enää.
883,It might be worth a try.,"Voi olla, että kannattaa kokeilla."
884,Is this Tom's bag?,Onko tämä Tomin laukku?
885,Do you do any volunteer work?,Teetkö yhtään vapaaehtoistyötä?
886,This is not a joke.,Tämä ei ole vitsi.
887,Keep.,Säilyttäkää.
888,She cooked me dinner.,Hän valmisti minulle päivällisen.
889,Is ten thousand yen enough?,Onko kymmenentuhatta jeniä tarpeeksi?
890,Has she finished the book yet?,Onko hän jo lukenut kirjan?
891,I will try again.,Koitan uudestaan.
892,It's very cold today.,Tänään on tosi kylmä.
893,We're bored.,Me olemme tylsistyneitä.
894,"Those present were, for the most part, students.",Läsnäolijat olivat suureksi osaksi opiskelijoita.
895,I bought this book in Boston last month.,Ostin tämän kirjan Bostonissa viime kuussa.
896,Enjoy yourself!,Pitäkää kivaa!
897,Tom would've helped you.,Tom olisi auttanut sinua.
898,Now stay put.,Pysy nyt paikallasi.
899,Interrogate!,Kuulustelkaa!
900,I do not want to waste the best years of my life for you.,En halua tuhlata elämäni parhaita vuosia sinuun.
901,Will you help us now?,Autatko meitä nyt?
902,Where is the tree?,Missä on puu?
903,Stay alert.,Pysy valppaana.
904,Cutting a cake into equal pieces is rather difficult.,On aika hankalaa leikata kakku yhtä suuriin paloihin.
905,I spoke French to Tom.,Puhuin ranskaa Tomille.
906,Water is composed of oxygen and hydrogen.,Vesi koostuu hapesta ja vedystä.
907,Why would you want to do something like that?,Miksi haluat tehdä jotain tällaista?
908,You always lie to me.,Aina sinä valehtelet minulle.
909,Tom lives only a few blocks away.,Tomi asuu ihan vain muutaman korttelin päässä.
910,Do you know who he was?,"Tiedättekö te, kuka hän oli?"
911,Tom thinks that personality is more important than looks.,"Tom on sitä mieltä, että luonne on tärkeämpi kuin ulkonäkö."
912,What are your reflections on this issue?,Mitkä ovat sinun mietteesi tässä asiassa?
913,"It's not a problem, is it?","Se ei ole ongelma, eihän?"
914,Ken will be fifteen next year.,Ken on ensi vuonna 15.
915,I'm being blackmailed.,Minua kiristetään.
916,Tom's apartment is cluttered.,Tomin huoneisto on sekaisin.
917,Today is June 18th and it is Muiriel's birthday!,Tänään on kahdeksastoista kuudetta ja Muirielin syntymäpäivä!
918,The general shook hands with us.,Kenraali puristi käsiämme.
919,It goes without saying that English is an international language.,"Sanomattakin on selvää, että englanti on kansainvälinen kieli."
920,A lot has happened since that time.,Sen ajan jälkeen on tapahtunut paljon.
921,The baby is still sleeping.,Se vauva nukkuu yhä.
922,I broke a vase today.,Rikoin maljakon tänään.
923,"You can't afford to buy that, can you?","Sinulla ei taida olla varaa ostaa sitä, vai mitä?"
924,Are you sure of your answer?,Oletko varma vastauksestasi?
925,Would you like another cup of tea?,Haluaisitko sinä toisen teekupillisen?
926,What position does Tom play?,Millä paikalla Tom pelaa?
927,Tom asked Mary if she thought he was handsome.,Tom kysyi Marilta onko hän Marin mielestä komea.
928,He knows how to play the piano.,Hän osaa soittaa pianoa.
929,Don't be late for work.,Älä myöhästy töistä.
930,I asked Tom if I could talk to him in private.,Kysyin Tomilta voisinko puhua hänen kanssaan kahden kesken.
931,"Right now, we have to find out what happened.","Juuri nyt meidän täytyy saada selville, mitä tapahtui."
932,A long spell of rainy weather is harmful to plants.,Pitkä sateinen jakso on kasveille haitaksi.
933,Please write with a pencil.,Käytä lyijykynää.
934,I have the impression that he is quite arrogant.,"Sain käsityksen, että hän on melko ylimielinen."
935,I'm drinking the coffee.,Olen juomassa sen kahvin.
936,I bet you didn't know this.,"Veikkaan, että tätä et tiennyt."
937,You've lost your marbles.,Sinä olet kadottanut marmorikuulasi.
938,I'm not as rich as Tom.,En ole yhtä rikas kuin Tomi.
939,"The moment he touched it, it blew up.","Sillä hetkellä kun hän kosketti sitä, se räjähti."
940,Will it disturb you if I turn on the TV?,"Häiritseekö sinua, jos laitan television päälle?"
941,Tom was a spy.,Tom oli vakoilija.
942,Did you have fun with Tom?,Oliko Tomin kanssa hauskaa?
943,She expressed her thanks for the present.,Hän ilmaisi kiitollisuutensa lahjasta.
944,You must wait for the next bus.,Sinun pitää odottaa seuraavaa bussia.
945,Did something happen?,Tapahtuiko jotain?
946,Tom cooks for us.,Tom laittaa meille ruokaa.
947,It works.,Se toimii.
948,We were at the edge of the hurricane.,Olimme hurrikaanin reunalla.
949,I haven't gotten over my cold yet.,En ole vielä päässyt ohi vilustumisestani.
950,He developed his own theory.,Hän kehitti oman teoriansa.
951,Esperanto is the most simple and neutral international language for the peoples in the world.,Esperanto on kaikista yksinkertaisin ja neutraalein maailmankieli.
952,Never keep food in your tent.,Älä koskaan säilytä ruokaa teltassa.
953,I think you'd better go.,Sinun taitaa olla paras lähteä.
954,Pay close attention to what I'm telling you.,Seuraa tarkkaan mitä kerron sinulle.
955,Are you single?,Oletko sinä sinkku?
956,I'd say the same thing.,Sanoisin samoin.
957,This differential equation can be easily solved by Laplace transform.,Tämän differentiaaliyhtälön voi helposti ratkaista Laplace-muunnoksella.
958,There are not many countries in the world that abound in natural resources.,"Maailmassa ei ole kovin monta maata, jotka ovat tulvillaan luonnon resursseja."
959,They're criminals.,He ovat rikollisia.
960,When he awoke it was day.,"Kun hän heräsi, oli päivä."
961,Are you sure that Tom is going to be there?,"Oletko varma, että Tom on siellä?"
962,They are foolish.,He ovat hölmöjä.
963,I didn't expect to see you at a place like this.,En odottanut näkeväni sinua tällaisessa paikassa.
964,I think I've made a big mistake.,"Luulen, että olen tehnyt suuren virheen."
965,His salary can't keep pace with inflation.,Hän palkkansa ei pysy mukana inflaation tahdissa.
966,I'll take the risk.,Otan riskin.
967,Just a moment. Let Mary finish.,Hetki vain. Anna Marin hoitaa hommansa loppuun.
968,You have two books.,Sinulla on kaksi kirjaa.
969,I'm unable to translate this sentence.,En kykene kääntämään tätä lausetta.
970,"On account of illness, I couldn't call on you today.",Sairauden tähden en voinut käydä luonasi.
971,Tom turned pale.,Tom kalpeni.
972,Can you hear his singing?,Voitko kuulla hänen laulavan?
973,That was double-dutch to me.,Se oli minulle täyttä hepreaa.
974,The door's locked.,Ovi on lukittu.
975,A gust of wind blew a shower of rain directly into my face.,Tuuli puhalsi sateen suoraan kasvoilleni.
976,The export of arms was prohibited.,Aseiden vienti oli kiellettyä.
977,Tom called me an idiot.,Tom kutsui minua idiootiksi.
978,It is a big dog.,Se on suuri koira.
979,What is in this box?,Mitä tässä laatikossa on sisällä?
980,Tom seems really laid back and happy.,Tomi vaikuttaa todella rennolta ja onnelliselta.
981,"Excuse me, do you speak French?","Anteeksi, puhutteko ranskaa?"
982,They're rather important.,Ne ovat melko tärkeitä.
983,You'll never know unless you try.,"Et saa ikinä tietää, ellet kokeile."
984,He was seriously injured in the car accident.,Hän loukkaantui vakavasti auto-onnettomuudessa.
985,She can't stop it.,Hän ei pysty lopettamaan sitä.
986,I'm sorry I've kept you waiting so long.,Olen pahoillani kun olen antanut sinun odottaa.
987,The majority of the songs became uninteresting.,Suurimmasta osasta lauluista tuli epäkiinnostavia.
988,Nobody knows.,Kukaan ei tiedä.
989,What do you guys think of Tom?,Mietä mieltä te ootte Tomista?
990,I've been awake nearly all the night.,Olen valvonut melkein koko yön.
991,You must put these mistakes right.,Sinun täytyy korjata tämä virheet.
992,He told me the story of his life.,Hän kertoi minulle elämäntarinansa.
993,Some kids had balloons.,Joillain lapsilla oli ilmapalloja.
994,He makes mistakes every time he speaks English.,Hän tekee virheitä joka kerran kun puhuu englantia.
995,You try and stop me.,Yritäpä vaan estää minua!
996,It looks like the wind's getting stronger.,"Näyttää siltä, että tuuli yltyy."
997,How was Tom killed?,Miten Tom tapettiin?
998,Who's going to stop us?,Kuka meidät pysäyttäisi?
999,I wish I could buy that house cheap.,Toivon että voisin ostaan tuon talon halvalla.
1000,"It must be said that, without his help, we wouldn't have managed.",Sanottakoon että hänen apunsa oli elintärkeää.
1001,Everyone asks me what it's like to be colour-blind.,Kaikki kysyvät minulta millaista on olla värisokea.
1002,Tom is not going to do it.,Tom ei aio tehdä sitä.
1003,Hi.,Hei.
1004,What do you think of that?,Mitä mieltä olet asiasta?
1005,How many clients do you have?,Kuinka monta asiakasta sinulla on?
1006,We stayed at a three-star hotel.,Me yövyimme kolmen tähden hotellissa.
1007,I found this restaurant by chance.,Löysin tämän ravintolan sattumalta.
1008,He's the little brother I never had.,"Hän on pikkuveli, jota minulla ei koskaan ollut."
1009,A function that is differentiable everywhere is continuous.,Kaikkialla differentioituva kuvaus on jatkuva.
1010,Ken has two cats.,Kenillä on kaksi kissaa.
1011,You'll understand soon.,Ymmärrät pian.
1012,Tom is the president of the local astronomy club.,Tom on paikallisen astronomiakerhon puheenjohtaja.
1013,I made a promise.,Tein lupauksen.
1014,Tom was taken aback.,Tomi yllättyi.
1015,I'm dancing.,Mä tanssin.
1016,The cost of living is rising.,Ne elinkustannukset nousevat.
