,english,russian
635,Why aren't you helping me?,Почему ты мне не помогаешь?
636,I watched a movie in French with English subtitles.,Я смотрел фильм на французском с английскими субтитрами.
637,I'll have dinner.,Я пообедаю.
638,I think Tom played well.,"По-моему, Том хорошо играл."
639,"He only blames other people, and never himself.","Он только других винит, а себя никогда."
640,Do you know how to play the banjo?,Вы умеете играть на банджо?
641,Tom walked over to Mary and hugged her.,Том подошёл к Мэри и обнял её.
642,"When will you be back? ""It all depends on the weather.""","Вы когда вернётесь? - ""Всё зависит от погоды""."
643,How long does a turtle live?,Сколько живут черепахи?
644,How safe is that?,Насколько это безопасно?
645,Your message has been received.,Ваше сообщение получено.
646,It took me three years finish building my house.,На завершение строительства моего дома у меня ушло три года.
647,I was irked.,Я был раздражён.
648,Don't talk to your mother like that!,Не разговаривайте так с матерью.
649,We're going to see if we can do that.,"Мы посмотрим, сможем ли мы это сделать."
650,Tom didn't want us at his party.,"Том не хотел, чтобы мы присутствовали на его вечеринке."
651,I suddenly realized what was happening.,"Я вдруг понял, что происходит."
652,She said she'd be late.,"Она сказала, что опоздает."
653,Do your parents still live in Germany?,Твои родители ещё живут в Германии?
654,I need it today.,Мне она нужна сегодня.
655,Tom is very likely to win.,"Том, скорее всего, выиграет."
656,What would you like Santa to bring you?,"Что бы ты хотел, чтобы Дед Мороз тебе принёс?"
657,Why doesn't Tom want to see me?,Почему Том не хочет меня видеть?
658,Where's your spirit of adventure?,Где твой дух искателя приключений?
659,Why were you angry with me?,За что вы на меня злились?
660,You may leave if you want to.,"Можете уйти, если хотите."
661,I see you've already met.,"Я вижу, вы уже встречались."
662,Something tells me you're right.,"Что-то мне подсказывает, что ты прав."
663,The cat is not mine.,Это не мой кот.
664,The captain ordered his men to fire.,Капитан приказал своим людям стрелять.
665,Sit there.,Сядьте там.
666,He hasn't made it yet.,Он ещё не сделал этого.
667,Tom is a father now.,Том стал отцом.
668,Tom is engaged to my daughter.,Том помолвлен с моей дочерью.
669,I will not go to school tomorrow.,Я завтра в школу не пойду.
670,"It's hard to be a woman. One must think like a man, act like a lady, look like a girl, and work like a horse.","Трудно быть женщиной. Нужно думать как мужчина, поступать как леди, выглядеть как девушка и работать как лошадь."
671,Let me talk to her first.,Давай я сначала с ней поговорю.
672,"I tried to convince her, but I didn't succeed.","Я пытался её убедить, но мне не удалось."
673,I thought that you were Canadian.,"Я думал, ты канадка."
674,Why are you sitting on my chair?,Почему вы сидите на моём стуле?
675,It sounds simple.,Звучит просто.
676,I can't afford to buy this.,Я не могу позволить себе это купить.
677,I've never seen you wear a hat.,Я никогда не видел тебя в шляпе.
678,Put it on the shelf.,Положите его на полку.
679,I thought you'd found someone else.,"Я думал, вы нашли кого-то ещё."
680,There are always a lot of vehicles on this road.,По этой дороге всегда ездит огромное количество транспортных средств.
681,You fooled us all.,Ты всех нас обманул.
682,I don't think Tom has any brothers or sisters.,"Не думаю, что у Тома есть братья или сёстры."
683,He must love you.,"Он, должно быть, тебя любит."
684,It's no use pretending to make me believe that I believe things you don't believe!,"Бессмысленно притворяться, что заставляете меня поверить, что я верю в то, во что вы не верите!"
685,I think that would be a big mistake.,"Думаю, это было бы большой ошибкой."
686,Tom and Mary have a son.,У Тома и Мэри есть сын.
687,I was pardoned.,Меня помиловали.
688,I appreciate your support.,Я ценю Вашу поддержку.
689,Do you think such a thing is possible?,"Думаешь, такое возможно?"
690,"To make things even worse, he got sick.",В довершение ко всему он заболел.
691,Do you think Tom is unsociable?,"Думаешь, Том замкнутый?"
692,"If that's true, then she's better than me.","Если это правда, она лучше меня."
693,I'll take good care of Tom.,Я буду хорошо заботиться о Томе.
694,Tom didn't seem to recognize you.,"Том, похоже, вас не узнал."
695,I refuse to help Tom.,Я отказываюсь помогать Тому.
696,Can I sit with her?,Могу я сесть с ней?
697,Keep it to yourself.,Оставь его себе.
698,Do you read something besides the Bible?,Ты кроме Библии что-нибудь читаешь?
699,Give me a reading on that meter near the boiler.,Прочтите мне показание счётчика у котла.
700,What does that gentleman do for a living?,Чем этот джентльмен зарабатывает себе на жизнь?
701,Why do you think Tom likes it?,"Почему ты думаешь, что Тому это нравится?"
702,Do your parents know about this?,Твои родители об этом знают?
703,Are they talking about you?,Это они о вас говорят?
704,Tom wants you in the conference room.,Том ждет тебя в конференц-зале.
705,The main thing on Tatoeba is not to utter ideas above your stomach and below your knees.,Главное в Татоэбе - не изрекать мыслей выше желудка и ниже колен.
706,He paid him four dollars.,Он заплатил ему четыре доллара.
707,I had to cancel my trip on account of the strike.,Из-за забастовки мне пришлось отменить свою поездку.
708,I don't know your name.,Я не знаю Вашего имени.
709,What time does the train arrive at Boston?,Во сколько поезд прибывает в Бостон?
710,What are the lyrics to that song?,Какие слова к этой песне?
711,Mary likes teasing her brother.,Мэри любит дразнить брата.
712,Law is on my side.,Закон на моей стороне.
713,Tom needed to find someplace to live.,"Тому нужно было найти, где жить."
714,Tom was with Mary all morning.,Том был с Мэри всё утро.
715,Publication of the article was timed to coincide with the professor's birthday.,Публикация статьи была приурочена ко дню рождения профессора.
716,Your phone rang several times while you were in the shower.,"У тебя телефон несколько раз звонил, пока ты в душе был."
717,She married him for his money.,Она вышла за него из-за денег.
718,Not every bird can sing.,Не любая птица умеет петь.
719,I bought him a magazine.,Я купила ему журнал.
720,I don't think that Tom hates you.,"Я не думаю, что Том вас ненавидит."
721,Tom doesn't respect them.,Том их не уважает.
722,That's just superstition.,Это просто суеверие.
723,Tom must make his own decisions.,Том должен принимать собственные решения.
724,"The bill, please.","Счёт, пожалуйста."
725,You must keep your shoes clean.,Твои туфли всегда должны быть чистыми.
726,Your birthday's coming up.,У тебя скоро день рождения.
727,Do the math.,Посчитай.
728,I don't like those shoes.,Мне не нравятся те ботинки.
729,Tom was married to Mary for a long time.,Том долгое время был женат на Мэри.
730,It's just a picture I downloaded from the Internet.,"Это просто картинка, которую я скачал в Интернете."
731,I think Tom is under thirty.,"Я думаю, Тому меньше тридцати."
732,Were you drinking?,Вы выпивали?
733,"He is, without question, the best man for the job.","Несомненно, он лучше всех подходит для этой работы."
734,You make my job easy.,Вы облегчаете мне работу.
735,Tom said that he saw Mary doing that.,"Том сказал, что видел, как Мэри это делает."
736,Tom can't just quit.,Том не может просто уйти.
737,I'm loved.,Я любима.
738,You don't seem very busy.,"Не похоже, чтобы вы были очень заняты."
739,The deadline has passed.,Дедлайн прошёл.
740,You're a lot like me.,Вы во многом похожи на меня.
741,Do you know those men over there?,Ты знаешь вон тех мужчин?
742,Tom left the room without saying a word to anyone.,"Том вышел из комнаты, не сказав никому ни слова."
743,That probably didn't happen.,"Этого, вероятно, не произошло."
744,Have you finished your lunch yet?,Ты уже закончил ланч?
745,Tom and Mary talked for at least an hour.,Том и Мэри разговаривали не меньше часа.
746,I want you to stay with us.,"Я хочу, чтобы ты остался с нами."
747,He tried to save her.,Он пытался её спасти.
748,"If you push this button, the door will open.","Если Вы нажмёте на эту кнопку, дверь откроется."
749,How many ties do you need?,Сколько тебе нужно галстуков?
750,I came back to help you.,Я вернулся вам помочь.
751,Tell me more about them.,Расскажи мне о них поподробнее.
752,Have you heard the latest rumours?,Вы слышали последние слухи?
753,I would've shown you how to do that.,"Я бы показал вам, как это делается."
754,I begged Tom to come.,Я умолял Тома прийти.
755,Your tag is sticking out.,У тебя бирка торчит.
756,My mother taught me not to waste money.,Мама научила меня не тратить зря деньги.
757,We could walk.,Мы могли бы пройтись пешком.
758,She died yesterday afternoon.,Она скончалась вчера во второй половине дня.
759,I can't raise our daughter alone.,Я не могу растить нашу дочь в одиночку.
760,He kept a seat for me.,Он занял для меня место.
761,I wanted to talk about it.,Я хотел поговорить об этом.
762,I screamed for help.,Я криком позвал на помощь.
763,Can you explain your answer?,Ты можешь объяснить свой ответ?
764,I know that this is important to you.,"Я знаю, что для вас это важно."
765,They all knew her.,Они все её знали.
766,We'd better stop.,Нам лучше остановиться.
767,I won't be late again.,Я больше не опоздаю.
768,I am terribly hungry.,Я ужасно голодный.
769,I live pretty close to you.,Я живу довольно близко к вам.
770,Tom tends to the horses.,Том ухаживает за лошадьми.
771,Why doesn't Tom agree with you?,Почему Том с вами не согласен?
772,I have to go back to Australia.,Я должен вернуться в Австралию.
773,People usually die if you kill them.,"Обычно люди умирают, если их убивают."
774,They've taken Tom off life support.,Они отключили Тома от аппарата жизнеобеспечения.
775,I didn't know what I was talking about.,"Я не знал, о чём говорю."
776,Pardon my French.,Извините за мой французский.
777,What did I just do?,Что это я сейчас сделал?
778,Tom and Mary have a lot in common.,У Тома с Мэри много общего.
779,Tom wants to go to the beach.,Том хочет пойти на пляж.
780,They won't fire me.,Они меня не уволят.
781,They wouldn't tell me the truth.,Они не сказали бы мне правду.
782,We always tell each other everything.,Мы всегда всё друг другу рассказываем.
783,I'm never satisfied.,Я никогда не удовлетворён.
784,Tom is half your age.,Том вдвое моложе вас.
785,Tom shut the lid.,Том закрыл крышку.
786,I'm married to a lawyer.,Я замужем за адвокатом.
787,Another interesting source of energy is the heat that can be recovered from radioactive waste material.,"Ещё один интересный источник энергии - тепло, которое можно получить из радиоактивных отходов."
788,He's smarter than me.,Он умнее меня.
789,Why did you tell Tom first?,Почему ты сначала Тому сказал?
790,Your grandmother is a charming lady.,Ваша бабушка — очаровательная дама.
791,He would not dare to do such a thing.,Он бы не посмел сделать такое.
792,The twelve-hour journey had tired me out.,Двенадцатичасовое путешествие меня измотало.
793,The baby woke up in the middle of the night.,Ребёнок проснулся среди ночи.
794,I said I was tired.,"Я сказал, что я устал."
795,Who's the boss of this company?,Кто босс этой компании?
796,Nobody saw us do it.,"Никто не видел, как мы это сделали."
797,He came back two days later.,Он вернулся два дня спустя.
798,Tom had breakfast.,Том позавтракал.
799,We should be home soon.,Мы скоро должны быть дома.
800,When did you move to Boston?,Когда вы переехали в Бостон?
801,I know that Tom and Mary are engaged.,"Я знаю, что Том с Мэри помолвлены."
802,Food!,Еда!
803,Did you help Tom wash windows?,Вы помогали Тому мыть окна?
804,That's outside my area of expertise.,Это вне моей компетенции.
805,It was yesterday.,Это было вчера.
806,I'm beginning to enjoy myself.,Я начинаю любить саму себя.
807,What does your son want to be when he grows up?,"Кем хочет стать ваш сын, когда вырастет?"
808,I'm unnecessary here.,Я здесь лишний.
809,Don't tell Tom what really happened.,"Не рассказывайте Тому, что произошло на самом деле."
810,I'm not just going to give it to you.,Я не собираюсь просто дать тебе это.
811,What will you say then?,Что ты тогда скажешь?
812,Were you speaking about your hobbies?,Ты говорил о своём хобби?
813,Come down here.,Спускайся сюда.
814,Why can't I see her?,Почему мне нельзя её увидеть?
815,I showed my friends these picture postcards.,Я показал моим друзьям эти открытки.
816,Tom didn't realize he'd made a mistake.,"Том не понял, что совершил ошибку."
817,I threw the ball.,Я бросил мяч.
818,I'm a singer.,Я певица.
819,Tom apologized to us.,Том перед нами извинился.
820,He read this book yesterday.,Он читал эту книгу вчера.
821,Where did Tom find this picture?,Где Том нашёл эту фотографию?
822,Tom gave me both money and advice.,"Том дал мне и денег, и совет."
823,What do you want me to tell you?,Что ты хочешь от меня услышать?
824,Please open the door.,"Пожалуйста, откройте дверь."
825,Tom said he isn't sleepy yet.,"Том сказал, что ещё не хочет спать."
826,She married him at the age of 20.,Она вышла за него замуж в возрасте двадцати лет.
827,I cannot give this dictionary to anyone.,Я никому не могу дать этот словарь.
828,Hand me that box.,Подай мне ту коробку.
829,It is said that his father died in a foreign country.,"Говорят, его отец умер в чужой стране."
830,Take mine.,Возьмите мой.
831,I know that Tom is taller than Mary.,"Я знаю, что Том выше Мэри."
832,I didn't have time to do that today.,"У меня сегодня не было времени, чтобы это сделать."
833,Mary told Tom she'd help him.,"Мэри сказала Тому, что поможет ему."
834,"The plural of 'person' is 'people', not 'persons'.","Множественное число от «person» — «people», не «persons»."
835,It's a short walk.,Это в двух шагах.
836,You've ruined it!,Ты всё испортил!
837,I think Tom should've stayed in Boston.,"Думаю, Тому надо было остаться в Бостоне."
838,Did you invite him?,Вы его пригласили?
839,Tom told me the baby's name.,"Том сказал мне, как зовут малыша."
840,Tom thinks that I'm in Boston now.,"Том думает, что я сейчас в Бостоне."
841,Tom didn't want to buy a new car.,Том не хотел покупать новую машину.
842,We're professors.,Мы учителя.
843,Tom is going to find you.,Том вас найдёт.
844,Everybody has weaknesses.,У всех есть слабости.
845,I hope you're well paid.,"Надеюсь, Вам хорошо платят."
846,Tom didn't eat any meat.,Том совсем не ел мяса.
847,I found this book interesting.,Эта книга мне показалась интересной.
848,Hundreds of unemployed men sleep there day and night.,Сотни безработных спят там днём и ночью.
849,I think I'm going to be late.,"Я, видимо, опоздаю."
850,Do your children know French?,Твои дети знают французский?
851,Tom screamed and ran out of the room.,Том закричал и выбежал из комнаты.
852,This soup smacks of fish.,Этот суп отдаёт рыбой.
853,There are a lot of girls in the room.,В комнате много девочек.
854,He talks about her too much.,Он слишком много о ней говорит.
855,She put a lot of sugar in the coffee.,Она положила в кофе очень много сахара.
856,Didn't you know that I used to teach French in Boston?,"Ты не знал, что я раньше преподавал в Бостоне французский?"
857,Tom was very surprised.,Том был очень удивлён.
858,They were buying time.,Они старались выиграть время.
859,I've already discussed it with Tom.,Я уже обсудила это с Томом.
860,"Jesus Christ while living among people spoke in a terrible, from the point of view of the Jews, Galilean dialect of Aramaic language instead of Hebrew; thereby showing the inconsistency of the allegations of the existence of any sacred language, which claim the use of such in prayers especially brings the followers closer to God.","Исус Христос, живя среди людей, разговаривал на ужасном, с точки зрения иудеев, галилейском диалекте арамейского языка вместо иврита, тем самым показав несостоятельность утверждений о существовании какого-либо священного языка, использование которого в молитвах особо приближает к Богу."
861,Tom eventually changed his mind.,В итоге Том передумал.
862,My opinion is a little different from yours.,Мое мнение слегка отличается от твоего.
863,Tell her I don't want to go.,"Скажи ей, что я не хочу идти."
864,Tom was paid three hundred dollars for doing that.,Тому заплатили за это триста долларов.
865,You don't know all the facts.,Ты не знаешь всех фактов.
866,I know what Tom will do.,"Я знаю, что Том сделает."
867,The weather forecast was right.,Прогноз погоды не ошибся.
868,It's obvious Tom doesn't know anything.,"Том, очевидно, никого не знает."
869,I'll ask Tom to make you something to eat.,Я попрошу Тома приготовить вам чего-нибудь поесть.
870,I'll go find Tom.,Пойду найду Тома.
871,I have no other books.,Больше книг у меня нет.
872,I want you to read this book.,"Я хочу, чтобы ты прочитал эту книгу."
873,Tom didn't wear a suit.,Том не носил галстук.
874,That's my answer!,Это мой ответ!
875,I heard him humming in the shower.,"Я слышал, как он напевал в душе."
876,You remind me of myself at a young age.,Ты напоминаешь мне молодого меня.
877,Tom is on night duty tonight.,Сегодня ночью Том на дежурстве.
878,I'm always busy.,Я всегда занята.
879,I play a little piano.,Я немного играю на фортепиано.
880,I thought you were a ghost.,"Я подумал, что Вы привидение."
881,Tom got up quickly.,Том быстро поднялся.
882,Please tell everyone I'm sorry.,"Пожалуйста, скажите всем, что я сожалею."
883,Tom told me to stay in my room.,Том сказал мне оставаться у себя в комнате.
884,Rest is important.,Отдых важен.
885,Have you called Lucy yet?,Ты уже звонил Люси?
886,A good idea came across her mind at the last moment.,Хорошая идея пришла ей в голову в последний момент.
887,The air in this room's very stuffy.,В этой комнате очень спёртый воздух.
888,Why aren't you wearing a sweater today?,Почему Вы сегодня не в свитере?
889,A pound is a unit of weight.,Фунт - это единица веса.
890,"If I were you, I wouldn't talk to him anymore.",Я бы на вашем месте с ним больше не разговаривал.
891,Japan consumes a lot of paper.,Япония потребляет много бумаги.
892,That's really hard.,Это очень трудно.
893,You've betrayed me.,Вы меня предали.
894,Tell her I'm sick.,"Скажи ей, что я болен."
895,Tom seems very busy.,"Том, похоже, очень занят."
896,I'm very pleased to meet you too.,И я очень рад с Вами познакомиться.
897,Thanks for sharing your thoughts.,"Спасибо, что поделился своими мыслями."
898,There's nothing I can do to help Tom.,Я ничем не могу помочь Тому.
899,Is that my book?,Это моя книга?
900,Laundry is a chore.,Стирка - рутинная работа.
901,Who else is on your list?,Кто ещё у вас в списке?
902,Don't give Tom my number.,Не давайте Тому мой телефон.
903,I've already decided who to go with.,"Я уже решил, с кем пойду."
904,I wish I knew what to tell them.,"Хотел бы я знать, что им сказать."
905,Tom's children must miss him.,"Дети Тома, должно быть, по нему скучают."
906,I thought Tom was mistaken.,"Я думал, Том ошибается."
907,I think you should talk to them.,"Я думаю, вам надо поговорить с ними."
908,He read physics at Oxford.,Он читает физику в Оксфорде.
909,He concealed the fact from me.,Он скрывал этот факт от меня.
910,Are you the one who saved me?,Это Вы меня спасли?
911,"While sleeping, he snored loudly.",Он громко храпел во сне.
912,Which browser is your favorite?,Какой твой любимый браузер?
913,Tom recognized Mary by her voice.,Том узнал Мэри по голосу.
914,You don't even look at me.,Ты на меня даже не смотришь.
915,Tom is too lazy to do that.,"Том слишком ленивый, чтобы сделать это."
916,Please cease from quarreling.,"Пожалуйста, перестаньте ссориться."
917,Grandpa always said there'd be days like this.,"Дедушка всегда говорил, что наступят дни, как сегодня."
918,That's not what I told her.,Я ей не так говорил.
919,I want to live in Australia.,Хочу жить в Австралии.
920,No one was able to help them.,Никто не мог им помочь.
921,When did you meet her?,Когда вы её встретили?
922,"The day has reached its end. Thanks to your timely efforts, people who intended to help you in your labours managed not to throw themselves into danger. In the theater, the masks are rehearsing a new pantomime.","День подошёл к концу. Благодаря Вашим своевременным усилиям, люди, которые стремились помочь Вам в Ваших трудах, не успели подвергнуть себя опасности. В Театре, Маски репетируют новую пантомиму."
923,"After the earthquake, many people decided to sleep outside in tents.",После землетрясения многие решили спать в палатках на улице.
924,Tell your men to drop their weapons.,Скажи своим людям бросить оружие.
925,There's a hidden door in the library.,В библиотеке есть потайная дверь.
926,Mike has some friends in Florida.,У Майка есть друзья во Флориде.
927,We both laughed.,Мы оба рассмеялись.
928,We need three more chairs.,Нам нужны ещё три стула.
929,I like this office.,Мне нравится этот офис.
930,I have a friend who lives in England.,"У меня есть подруга, которая живёт в Англии."
931,Tom is trying as hard as he can.,Том старается изо всех сил.
932,Why won't you be here tomorrow?,Почему тебя завтра не будет?
933,We should get to know each other a little better.,Нам следует узнать друг друга получше.
934,"Someone said something, but I could not understand it.","Кто-то что-то сказал, но я не разобрал."
935,Somebody's got to talk to him.,Кому-то надо с ним поговорить.
936,I never worried about them.,Я никогда за них не беспокоился.
937,Tom was able to get to the hospital on his own.,Том смог самостоятельно добраться до больницы.
938,I sat next to Tom.,Я сел рядом с Томом.
939,You sound upset.,У Вас голос расстроенный.
940,Have you always been so selfish?,Ты всегда был таким эгоистом?
941,I think this medicine will do you a lot of good.,"Я думаю, что это лекарство принесёт вам большую пользу."
942,Tell Tom to be here by 2:30.,"Скажите Тому, чтобы был здесь к половине третьего."
943,It's not rocket science.,Это не бог весть какая наука.
944,Tom suspected Mary was using drugs.,"Том подозревал, что Мэри употребляет наркотики."
945,Promise me you won't tell her.,"Обещай мне, что не скажешь ей."
946,Maybe you shouldn't tell her.,"Может быть, вам не стоит ей говорить."
947,I'm afraid it'll rain.,"Боюсь, будет дождь."
948,Do you want to drink some beer?,Хотите выпить пива?
949,Where did you see him?,Где ты его видел?
950,The poor cat was on the verge of starvation.,Бедный кот был на пороге голодной смерти.
951,"I've learned so much from my mistakes, I'm thinking of making a few more!!","Я столькому научился на своих ошибках, что думаю сделать ещё несколько!"
952,My favorite color is blue.,Мой любимый цвет — синий.
953,I made some corrections.,Я внёс некоторые исправления.
954,You don't know what you're talking about.,"Ты не знаешь, о чём говоришь."
955,The soccer player kicked the ball.,Футболист ударил по мячу.
956,This book sells well.,Эта книга хорошо продаётся.
957,Tom didn't say anything.,Том не сказал ничего.
958,I didn't know that Tom wouldn't do that.,"Я не знал, что Том этого не сделает."
959,Positive atomic nuclei attract negative electrons.,Положительные атомные ядра притягивают отрицательные электроны.
960,You're so wrong.,Вы так ошибаетесь!
961,Tom opened his bag.,Том открыл свою сумку.
962,Everyone looked at my feet.,Все посмотрели на мои ноги.
963,Tom was the first person to arrive.,Том был первым прибывшим.
964,Don't help me. I want to do this by myself.,Не помогай мне! Я хочу сама это сделать.
965,I feel sick.,Мне нехорошо.
966,Come to me.,Идите ко мне.
967,"The hotel charged me 8,000 yen for the room.",Гостиница выставила мне счёт в 8000 йен за номер.
968,I gave up keeping up with trends.,Я перестал гнаться за модой.
969,Tom has allergies.,У Тома аллергия.
970,I know this girl's father.,Я знаком с отцом этой девушки.
971,I'm not sure what my children want for Christmas.,"Я точно не знаю, чего хотят мои дети на Рождество."
972,Why did she do that?,Почему она это сделала?
973,Does Tom have it?,У Тома она есть?
974,I finally got a job.,Я наконец устроился на работу.
975,"Tom is in the kitchen, washing dishes.","Том на кухне, моет посуду."
976,The temperature went down three degrees.,Температура снизилась на три градуса.
977,Tom refused to allow Mary to go to the party.,Том отказался позволить Мэри пойти на вечеринку.
978,Tom won't ask me to do that.,Том не будет просить меня это сделать.
979,I want to look like him.,Я хочу быть похожим на него.
980,I'll never tell you.,Я никогда не скажу тебе.
981,The bus was crowded.,Автобус был переполнен.
982,Where do you want to go next weekend?,Куда ты хочешь поехать на следующих выходных?
983,How wonderful is that?,Насколько это чудесно?
984,I'm hungover.,У меня похмелье.
985,Tom wasn't polite to Mary.,Том не был вежлив с Мэри.
986,Get out of my office.,Выметайся из моего офиса.
987,This car sells well.,Этот автомобиль хорошо продаётся.
988,I have to work this weekend.,На этих выходных мне нужно работать.
989,You can't do this to us.,Вы не можете так с нами поступить.
990,His words confused me.,Его слова смутили меня.
991,I know what happened.,"Я знаю, что случилось."
992,When can we start?,Когда мы можем начать?
993,I know what Tom had to do.,"Я знаю, что Тому надо было делать."
994,Give my love to her.,Передай ей от меня привет.
995,Was that a lie?,Это была ложь?
996,Tom's answer stunned everyone.,Ответ Тома всех потряс.
997,Tom looks well.,Том хорошо выглядит.
998,Did you kiss Tom back?,Ты поцеловала Тома в ответ?
999,It's about time I was going.,Мне уже пора идти.
1000,Where was your son?,Где был твой сын?
1001,I saw it in the store.,Я видела это в магазине.
1002,The world is cruel.,Мир жесток.
1003,I'm a light sleeper.,У меня чуткий сон.
1004,Tom doesn't care about anyone but himself.,"Тому ни до кого нет дела, кроме себя самого."
1005,I am from Shizuoka.,Я из Сидзуоки.
1006,Tom cut down all the trees in his backyard.,Том спилил у себя на заднем дворе все деревья.
1007,Saturday is the day when he is free.,"Суббота — день, когда он свободен."
1008,I wonder what has become of her.,"Интересно, что с ней стало."
1009,The last bus will be leaving in thirty minutes.,Последний автобус отходит через тридцать минут.
1010,He told me he'd do it.,"Он сказал мне, что сделает это."
1011,He gave him the book.,Он дал ему книгу.
1012,Thanks very much for staying with me.,"Большое спасибо, что остался со мной."
1013,She didn't give me anything.,Она ничего мне не дала.
1014,It's as easy as falling off a log.,Ежу понятно.
1015,He wrote to his parents.,Он написал своим родителям.
1016,I'm satisfied with the way things are.,"Я доволен тем, что есть."
1017,Why have you come only now?,Что же ты только сейчас пришёл?
1018,The postman is cute.,Почтальон мил.
1019,I want to know whether Tom and Mary eat meat or not.,"Я хочу узнать, едят ли Том и Мэри мясо."
1020,Tom wouldn't listen to my advice.,Том не послушал бы мой совет.
1021,Do you want to say anything to Tom?,Ты хочешь что-нибудь сказать Тому?
1022,Don't you want to have another son?,Вы не хотите ещё сына?
1023,How can I lose weight?,Как я могу сбросить вес?
1024,I think we should let Tom know we'll be late.,"Я думаю, нам следует сообщить Тому, что мы опоздаем."
1025,Where are our friends?,Где наши друзья?
1026,Don't forget us.,Не забывай нас.
1027,They tried to hide their anxiety.,Они пытались скрыть своё беспокойство.
1028,This cathedral has a large organ.,В этом соборе есть большой орган.
1029,I don't think you're right.,"Я не думаю, что ты прав."
1030,Did you find him?,Ты его нашёл?
1031,You want me to come in?,"Ты хочешь, чтобы я зашла?"
1032,Please let me off on this side of that traffic light.,"Пожалуйста, высадите меня на этой стороне от светофора."
1033,Tom shot and killed a tiger.,Том выстрелил и убил тигра.
1034,I've never dated anyone taller than me.,Я никогда не встречался ни с кем выше меня.
1035,How much does rye flour cost?,Сколько стоит ржаная мука?
1036,I want something cold to drink.,Мне хочется выпить чего-нибудь холодного.
1037,Why do you even care?,Какая тебе разница?
1038,Every nation has its peculiar character.,У каждой нации свой особенный характер.
1039,A healthy man does not know the value of health.,Здоровый человек не знает цены здоровью.
1040,Did I miss something interesting?,Я пропустил что-нибудь интересное?
1041,I had to tell them myself.,Мне пришлось самому им сказать.
1042,The audience roared with laughter.,Публика покатилась со смеху.
1043,You're ignoring me.,Ты не обращаешь на меня внимания.
1044,I have a broken ankle.,У меня сломана лодыжка.
1045,"You like to take pictures, don't you?","Любишь фотографировать, да?"
1046,He is a knight of nobility without fear and blame.,Он рыцарь благородный без страха и упрёка.
1047,They hate women.,Они ненавидят женщин.
1048,I'm very low on change right now.,У меня с собой почти нет мелочи.
1049,Tom tried to run.,Том пытался бежать.
1050,What colour are her eyes?,Какого цвета у неё глаза?
1051,Come quick!,Иди скорей!
1052,You overestimate him.,Вы его переоцениваете.
1053,How many weeks ago did that happen?,Сколько недель назад это случилось?
1054,Tom was asleep in his room.,Том спал в своей комнате.
1055,Do you know why this is happening?,"Ты знаешь, почему это происходит?"
1056,I looked around me.,Я посмотрел вокруг себя.
1057,Tom is still alive.,Том всё ещё жив.
1058,My favorite Pizza is Hawaiian.,Гавайская — моя любимая пицца.
1059,Tom was a hockey fan.,Том был хоккейным фанатом.
1060,Who was here first?,Кто был здесь первым?
1061,Do you sing in the choir?,Вы поёте в хоре?
1062,Were you home last night?,Ты был вчера вечером дома?
1063,I was homeless for three months.,Я три месяца был бездомным.
1064,She said she wanted to win.,"Она сказала, что хочет выиграть."
1065,The prices will come down.,Цены снизятся.
1066,I'm glad Tom wasn't hurt.,"Я рад, что Том не пострадал."
1067,I've never done harm to anyone.,Я никогда никому не причинила вреда.
1068,It was no accident.,Это было не случайно.
1069,Don't blame yourself.,Не вини себя.
1070,What is it you want to talk about?,О чём Вы хотите поговорить?
1071,Tom is shouting at Mary.,Том кричит на Мэри.
1072,That's my favorite song.,Это моя любимая песня.
1073,Don't leave the engine running.,Не оставляйте включённым двигатель.
1074,I do not know what is in the box.,"Я не знаю, что в коробке."
1075,I thought Tom said that Mary was from Australia.,"Том вроде говорил, что Мэри из Австралии."
1076,Does she know you?,Она Вас знает?
1077,Tom was arrested in October of 2013.,Том был арестован в октябре 2013 года.
1078,You're very perceptive.,Вы очень проницательны.
1079,"Again and again there are challenges in our life. Some call them problems, others call them growth opportunities.","Снова и снова в нашей жизни появляются препятствия, некоторые называют их проблемами, другие говорят о возможностях для роста."
1080,Thanks for taking him fishing.,"Спасибо, что взяли его на рыбалку."
1081,You won't have that problem.,У тебя не будет этой проблемы.
1082,I prefer to spend time with friends.,Я предпочитаю проводить время с друзьями.
1083,Find a solution.,Найдите решение.
1084,I hear a dog barking in the woods.,"Я слышу собаку, лающую в лесу."
1085,He told me that he wanted to leave the company.,"Он сказал мне, что хочет уйти из компании."
1086,Do you want to come in?,Хочешь войти?
1087,You and I both know that's not going to happen.,"Мы с Вами оба знаем, что этого не будет."
1088,I thought you knew them.,"Я думал, ты знаешь их."
1089,Tom bought a hotdog for me.,Том купил мне хот-дог.
1090,I'll be back late.,Вернусь поздно.
1091,"We need action, not words.","Нам нужны действия, а не слова."
1092,Tom was suspected of being a spy.,"Тома подозревали в том, что он шпион."
1093,You're just running away from life's problems.,Ты просто убегаешь от проблем.
1094,A yard without women is like a garden without flowers.,Двор без женщин как сад без цветов.
1095,You can't leave a baby alone.,Нельзя оставлять малыша одного.
1096,She'll do that if she can.,"Она сделает это, если сможет."
1097,I'm done with that.,Я с этим закончил.
1098,I put bait on the hook.,Я насадил на крючок наживку.
1099,Don't leave your glasses on the table.,Не оставляй очки на столе!
